ID,Timestamp,Sector,Tipo_Emergencia,Latitud,Longitud,Confiabilidad_Usuario,Prioridad_IA,Nivel_Prioridad,Estado_IA,Tiempo_Respuesta_Min,Estado_Reporte
#1001,2026-07-13 20:55:25,San Agustín,Emergencia Médica,-11.936437,-77.0174,16,15,Baja,Validado,6.4,Atendido
#1002,2026-07-14 07:40:25,Comas Norte,Sospecha,-11.927896,-77.025919,64,40,Media,Validado,23.8,En Proceso
#1003,2026-07-13 21:13:25,San Agustín,Sospecha,-11.941929,-77.018938,18,52,Media,Validado,23.4,Atendido
#1004,2026-07-13 20:17:25,La Balanza,Sospecha,-11.913735,-77.056938,63,64,Media,Validado,11.3,Atendido
#1005,2026-07-14 13:24:25,Collique,Emergencia Médica,-11.916664,-77.010982,86,18,Baja,Validado,5.0,Pendiente
#1006,2026-07-14 09:37:25,San Agustín,Emergencia Médica,-11.928663,-77.036803,92,53,Media,Validado,19.2,Atendido
#1007,2026-07-14 04:25:25,Comas Sur,Incendio,-11.929255,-77.051569,12,19,Baja,Validado,3.5,Pendiente
#1008,2026-07-14 09:32:25,La Balanza,Robo,-11.884578,-77.025198,70,15,Baja,Validado,8.2,Atendido
#1009,2026-07-14 16:51:25,Comas Norte,Incendio,-11.883549,-77.031007,46,80,Alta,Validado,7.6,Atendido
#1010,2026-07-14 03:26:25,Collique,Robo,-11.938347,-77.0219,100,80,Alta,Validado,7.1,En Proceso
#1011,2026-07-14 09:47:25,La Balanza,Sospecha,-11.918677,-77.02244,64,58,Media,Validado,14.2,En Proceso
#1012,2026-07-14 14:56:25,La Balanza,Emergencia Médica,-11.923911,-77.044411,48,98,Alta,Validado,18.5,Atendido
#1013,2026-07-13 22:50:25,San Agustín,Sospecha,-11.900675,-77.025976,20,95,Alta,Validado,5.1,Atendido
#1014,2026-07-14 18:08:25,Comas Norte,Robo,-11.913526,-77.044007,40,99,Alta,Validado,22.6,Atendido
